ID,NAME,TYPE,ADDRESS,CITY,STATE,ZIP,CONTACT,PHONE,NOTES,ACTIVE,,,,,,,,,,,,
455,Humanity Baptist Church (Nov 8th & 22nd),recipient,235 Bergen Street,Newark,NJ,07103, Kelly Williams , 973-964-5535 ,Call Elder Williams to give time  if you can.\r\n\r\n2nd and 4th Friday of each month.\r\nJuly 12 and 26\r\nAugust 23\r\nSeptember 13 and 27\r\nOctober 12 and 26\r\nNovember 9 and 23\r\nDecember 7 and 21 ,1), ,,,,,,,,,,,
456,Rema Foods Inc,donor,140 Sylvan Ave 2nd Floor,Englewood Cliffs,NJ,07632, Steven Winograd-Operations , 201-388-2719 ,  ,1)     ,,,,,,,,,,,,
457,Principe North AmericaAmerica LLC co Superior Cold Storage,donor,1161 East Broad Street,Elizabeth,NJ,07201, Ilaria Bellanca- Controller , 845-672-5736 ,"Corp Address: 240 Kent Ave Brooklyn,  NY 11249 ",1), ,,,,,,,,,,,
458,Sharon Hodges - private home,donor,181 Kemah Road,Ridgewood,NJ,07450, Sharon Hodges , 201-444-2685 ,  ,1)     ,,,,,,,,,,,,
459,Ciba Vita Warehouse,donor,15-01 Pollitt Drive,Fair Lawn,NJ,07410, Sibel , 862-225-3803 ,"Water donation\r\nReceipt sent to:\r\nCiba Vita\r\n407 Green Mt. Rd.\r\nMahwah, NJ  07430\r\nRobin Caprio (551)427-7958 ",1), , ,,,,,,,,,,
460,Wegmans,donor,100 Farm View,Montvale,NJ,07645, Jeremiah-Rec , 551-249-2200 , Pick ups Mon-Wed-Fri 8am\r\nCorporate contact\r\nKenny Sherr Service manager \r\n551-249-2200 ext 207\r\nStarts 3/26 ,1)     ,,,,,,,,,,,,
461,Congregational Baptist Church (Nov 12 & 19),recipient,399 Bergen Street,Newark,NJ,07103, Ginny , 973-449-9819 , 2nd and 3rd Tuesday of each month. ,1)     ,,,,,,,,,,,,
462,"Lorenzo Food Group, Inc",donor,196 Coolidge Ave,Englewood,NJ,07631, Brian Baldwin-Purchaser-Rec ,201-868-9088 ,Ask for Lydia!!!\r\nPresident : John Lorenzo\r\n201-868-9088  cell 201-233-0751\r\n\r\nopen Mon-Sat 7am- 5pm ,1), , ,,,,,,,,,,
463,Bayer Flik-Compass,donor,100 Bayer Boulevard,Whippany,NJ,07981, Anthony Palomba  Executive Chef , 609-254-9622 ,,1), ,,,,,,,,,,,
464,Far Hills Country Day School,donor,697 US Highway 202,Far Hills,NJ,07931, Ellen , x , One day deal ,1)     ,,,,,,,,,,,,
465,Community Soup Kitchen,recipient,36 South Street,Morristown,NJ,07960, Lois , 973-267-0709 x204 , They pick up from Bayer/Flick Whippany and report pounds back. ,0)     ,,,,,,,,,,,,
466,Flik at Konica Minolta,donor,100 Williams Drive,Ramsey,NJ,07446, Kristen Schwartz , 201-934-4693 ,  ,1)     ,,,,,,,,,,,,
467,Debragga & Spitler,donor,65-77 Amity Street,Jersey City,NJ,07304, Lydia Liebchen-Corp Chef , 212-924-1311 ext 228 ,Marc Sarrazin--President\r\n\r\nWarehouse is around the corner on Bright Street ,1)     ,,,,,,,,,,,,
468,Peterson Cheese,donor,14 Empire Blvd,Moonachie,NJ,07074, Felix Rodriguez , 253-249-2455 , Tom Wardlaw Director of Operations\r\n973-296-5045 ,1)     ,,,,,,,,,,,,
475,Cardinal Foods,donor,505 Jefferson Ave,Secaucus,NJ,07094, Eric Smith-Owner , 201-330-0800 ,Cathy-office Mgr  see cathy in office when arrive , 1), ,,,,,,,,,,,
469,Fresko,donor,20 Railroad Avenue,Hackensack,NJ,07601, Erik Gross , 917-841-6859 , Go to the back of the building and pull into loading dock.\r\n\r\nPick up every Friday. ,1)     ,,,,,,,,,,,,
470,CAFS Mahwah,recipient,94 Ramapo Valley Road,Mahwah,NJ,07430, Valdhi Sainvilus , 201-851-8746 , Group home\r\nAcross the street from Mahwah Bar & Grill ,0)     ,,,,,,,,,,,,
471,Fresh Mozzarella Company,donor,314 Colfax Road,Clifton,NJ,07013, Pat Edmonds - Owner , 201-738-5082 , Loading dock at far back right building. ,1)     ,,,,,,,,,,,,
472,Perfect Bite,donor,747 Wilson Avenue,Glendale,CA,91203, Todd Hauerland - VP of Logistics and Supply Chain , 818-507-1527 , Pick up at Freezepac ,1)     ,,,,,,,,,,,,
473,Esti Foods LLC,donor,275 Veterans Blvd,Rutherford,NJ,07070, Chris-Rec , 201-460-2333 ,"Pull into left entrance loading area next to construction...ask for Chris\r\n\r\nCorporate office:\r\n\r\nAnne Marie Hessinger\r\n150 S Van Brunt Street\r\nEnglewood, NJ  07631\r\n201-567-5156 ",1), , ,,,,,,,,,,
474,Alpine Boy Scout Camp,donor,441 Route 9W,Alpine ,NJ,07620,  ,  , Call Scott Park Ranger when on way\r\n201-310-3675 ,1)     ,,,,,,,,,,,,
476,Conca D\Oro,donor,100 Bomont Place,Totowa,NJ,07512, Paolo Salvia , 718-446-0800 ,  ,1)     ,,,,,,,,,,,,
477,Golden Platter,donor,37 Tompkins Point Road,Newark,NJ,07114, Monica Quinonez-QC Mgr , 973-242-0290 ,  ,1)     ,,,,,,,,,,,,
478,Performance Food Group,donor,1 IKEA Drive,Elizabeth,NJ,07201, Louis Gonzalez , 908-436-4989 ,  ,1)     ,,,,,,,,,,,,
479,Jersey Famous Foods,donor,93 Albert Ave,Newark,NJ,07105, Chasity Napoleon , 973-900-6153 x 307 , Jose Carron-Shipping 973-900-6153 x305\r\nDiego Guaylaceln-ops mgr 973-900-6153 x300 ,1)     ,,,,,,,,,,,,
480,Mr Good Luck Warehouse,donor,455 Alfred Ave Unit B,Teaneck,NJ,07666, Jake Cho , 917-943-0572 ,Corp Office:1315 15th Street  Fort Lee NJ  07024\r\n\r\n917-943-0572,1), , , ,,,,,,,,,
481,George Washington Carver Bruce Street Elementary School (HUB),recipient,333 Clinton Place,Newark,NJ,07112, Dwayne , 973-868-1059 , Newark School HUB\r\nDeliver onto playground off of Aldine Street ,1)     ,,,,,,,,,,,,
482,Cargill Salt -Hall\s Warehouse,donor,330 Oak Tree Ave,South Plainfield,NJ,07080,, 908-756-6242 x250 ,corp:\r\n\r\nCargill Salt\r\nBob Jordan\r\nNational Account Mgr\r\nNE Retail & Commercial Salt\r\n1103 Deerfield Road Monroe  NY 10950\r\n845-238-2113 ,1), ,,,,,,,,,,,
483,Gargiulo Produce,donor,535 Sweetland Ave,Hillside,NJ,07205, Rich Gargiulo Owner , 908-233-8222 , Chris Ducey Ops Mgr 908-233-8222 ,1)     ,,,,,,,,,,,,
484,GFG Bakery,donor,275 Veterans Blvd,Rutherford,NJ,07070, Ms. Chin Ugouzi , 201-917-2425 , Shipping Contact: Socrates ,1)     ,,,,,,,,,,,,
485,Haitian Baptist Church Crossroads,recipient,202 South 12t Street,Newark,NJ,07107, Mrs. Limene Nicolas , 908-265-3603 ,908-553-6031\r\n\r\nBegins thursday June 14th.\r\nIf you are going to be there after 1:30pm  just call her and let her know.  Thank you!! ,1), ,,,,,,,,,,,
486,Dr. Produce,donor,262 Buffalo Ave,Paterson,NJ,07503, Leslie Rodriguez , 973-396-8080 ,  ,1)     ,,,,,,,,,,,,
487,Dr Produce,donor,262 Buffalo Ave,Paterson,NJ,07503, Leslie Rodriguez , 973-396-8080 ,  ,1)     ,,,,,,,,,,,,
488,The Venetian,donor,546 River Drive,Garfield,NJ,07026, Mike , 973-546-2250 ,  ,1)     ,,,,,,,,,,,,
489,A Zerega\s Sons Inc,donor,20-01 Broadway,Fair Lawn,NJ,07410, Rob Vermylen , 201-614-8414 , Ask for Victor when you arrive ,1)     ,,,,,,,,,,,,
490,Calvary Cares CDC Inc (ON HOLD),recipient,90 West Demarest Avenue,Englewood,NJ,07631, Dionisio Cucuta Jr. , 201-315-5618 , ON HOLD - WAITING TO FIND ANOTHER LOCATION.\r\n\r\nCall when you know you will be there.\r\nVery close to St. Cecelia\ s. ,1)     ,,,,,,,,,,,,
491,Flying Food Group,donor,640 Frelinghuysen Ave,Newark,NJ,07144, Carlos Pinto , 973-623--3395 ext 26 , cell: 291-852-4150 ,1)     ,,,,,,,,,,,,
492,Farm Boy Superfresh,donor,465 Getty Ave,Paterson,NJ,07503, Mr. Joon Lee , 201-742-3955 ,  ,1)     ,,,,,,,,,,,,
493,White Toque LLC,donor,11 Enterprise Ave North,Secaucus,NJ,07094, Exciel Renvill-Ops Mgr , 201-863-2885 x223 ,  ,1)     ,,,,,,,,,,,,
494,Goya Foods,donor,350 County Road,Jersey City,NJ,07097, Andrew , 201-640-5545 , Go to door 68 ask for Ms Albis Gonzalez in Receiving ,1)     ,,,,,,,,,,,,
495,Tropicana,donor,9 Linden Ave East,Jersey City,NJ,07305, Eric Karafiol , 516-941-8974 , Sumita Rai Corp 215-519-5006\r\n\r\nLet gate know there to pickup Chilled DSD and to Contact Eric at 516-941-8974 ,1)     ,,,,,,,,,,,,
496,St. Anne\s Soup Kitchen (ON HOLD) (Franciscan Charities),recipient,103 16th Avenue,Newark,NJ,07103, Michelle Middleton , 201-955-8206 , Soup Kitchen\r\nPull into parking lot/courtyard between iron gates\r\n\r\nMary Lee Trousdale\r\n908-403-4222 ,1)     ,,,,,,,,,,,,
497,New Vision Foods,donor,634 Bergen Blvd,Ridgefield,NJ,07657, Joe Acosta-Executive Chef , 551-319-0555 , pickup mon and wed ,1)     ,,,,,,,,,,,,
498,Loc Maria Bisquits Inc co Seafrigo,donor,735 Dowd Ave,Newark,NJ,07201, Veronica Subers , 610-273-8569 ,Veronica Subers(Corp) Customer Relations  Product Development and Logistics\r\n1010 North Hancock Street  Philadelphia  PA 19123 ,1),  , , ,,,,,,,,,
499,Wotiz Meat Company,donor,68 First Street,Passaic,NJ,07055, Nick Gatti or Scott , 973-773-7556 , Pick up anytime between 7:30-2pm \r\nMonday through Thursday ,1)     ,,,,,,,,,,,,
500,Salvation Army Boys and Girls Club Ironbound,recipient,11 Providence Street,Newark,NJ,07105, Zelia Oliveira , 973-344-2698 , Double door on Providence Street for delivery.\r\nCall Zelia when you arrive.\r\nMarket St. to Ironbound\r\nTurn left on Fleming Ave (right after Police station)\r\nTurn left on Providence.  Big corner brick building ,1)     ,,,,,,,,,,,,
501,Boys and Girls Club Newark (Nov 7 & 21),recipient,1 Avon Avenue,Newark,NJ,07108, Gardan Speights , 646-236-5695 , NO PORK\r\n\r\nNovember 7 & 21\r\nDecember 5 & 19 ,1)     ,,,,,,,,,,,,
561,Kings Garwood,donor,300 South Ave,Garwood,NJ,07027, Lakashi Branch ,  ,  ,1)     ,,,,,,,,,,,,
502,CAFS Haskell,recipient,4 Park Avenue,Haskell,NJ,07420, Tanya Gray , 201-851-8758 , Fridays ,1)     ,,,,,,,,,,,,
503,Food Depot Supermarket,donor,75 1st Street,Newark,NJ,07107, Hoover Gonzalez-Mgr , 973-350-0202 ,  ,1)     ,,,,,,,,,,,,
504,Mama Mia Produce,donor,50 Morton Street,East Rutherford,NJ,07073, Dvir Efergan Shimon Efergan , 973-773-9494 , Warehouse contact is Pedro - ask for Pedro when you arrive. ,1)     ,,,,,,,,,,,,
505,St. Catherine of Siena,donor,39 E. Bradford Avenue,Cedar Grove,NJ,07009, Ms. Kerwin , 973-239-6968 ,  ,1)     ,,,,,,,,,,,,
506,The Original Soup Man,donor,745 Hope Road,Eatontown,NJ,07724, Nicole Hagan ,  , Mike: 973-900-3269 ,1)     ,,,,,,,,,,,,
508,Helene Nafbali (private home),donor,489 Carlton Rd,Wyckoff,NJ,07481, Helene , 201-694-5656 , Ring the doorbell and ask for Helene. ,0)     ,,,,,,,,,,,,
509,Our Lady of Mount Carmel,donor,10 County Rd,Tenafly,NJ,07670, Mary Ann Nelson , 201-568-0545 ,  ,1)     ,,,,,,,,,,,,
510,The Barn,donor,570 Piermont Rd,Closter,NJ,07624," Ted Solid, Owner",917-518-1988   ,Go around back\r\nRestaurant closing and packing up food for us.\r\nCall about 30 minutes before going,0), ,,,,,,,,,,,
511,Source Communications,donor,433 Hackensack Ave Suite 1,Hackensack,NJ,07601, Craig Franklin , 201-988-0044 , Juice ,1)     ,,,,,,,,,,,,
512,Malcolm X Shabazz High School (HUB),recipient,80 Johnson Avenue,Newark,NJ,07108, Ms. Ellison , 973-202-7561 ,Call when on your way there.\r\nDrop off in back of school\r\nGPS 95 Milford Avenue  Newark\r\nParking lot right after on corner of Alpine and Milford. ,1), ,,,,,,,,,,,
513,John Pilioris (private residence),donor,59 houston Place,Haworth,NJ,07641, angela , 201-906-4727 ,pick up ham - one time deal  JULY 10  AUGUST 28\r\n\r\nRev Earlin Thomas (another contact)\r\n201-428-8650\r\n\r\nDeliver to community room located behind main office.  Corner of Duncan Ave and Marcy Pl. ,1)     ,,,,,,,,,,,,
514,Mount Vernon Elementary (HUB),recipient,142 Mount Vernon Place,Newark,NJ,07103, Victoria Carlisle , 973-380-4236 ,Or Jae Zimmermann 973-349-0940\r\nor Dave Price  Principal 973-985-7088\r\nor Mike Dixson 973-296-0048\r\nParking lot is around side / back.\r\nput into GPS 167 Tuxedo Parkway  Newark ,1), , ,,,,,,,,,,
515,Purple Carrot,donor,81B Walsh Drive,Parsippany,NJ,07054, April Cook , 201-6942725 , (not correct phone number) ,1)     ,,,,,,,,,,,,
516,Bartlett Dairy,donor,802-814 Bergen Street,Newark,NJ,07108, Samantha Keane , 718-658-2299 ,x265 for Samantha\r\nWhen you get to guard house  ask for Paul ,1), ,,,,,,,,,,,
518,ShopRite Wyckoff,donor,430 Greenwood AVenue,Wyckoff,NJ,07481, John Kopf  Store Manager , 201-529-8131 ,,1), ,,,,,,,,,,,
519,Abundant Grace & Truth Ministries (Dec 13),recipient,100 Palisade Avenue,Westwood,NJ,07675, Angela Dixon , 201-456-3182 ,"This is in the New St Mark Church.\r\nPull in driveway to the left of the church.\r\nVolunteers will bring food in through side door\r\nOct 11 Nov 8,  Dec 13 ",1), ,,,,,,,,,,,
520,West Side High School (Mobile Market),recipient,403 South Orange Avenue,Newark,NJ,07103, Ana DosSantos , 973-342-2512 , Mobile Market Fridays ,0)     ,,,,,,,,,,,,
521,PARKING LOT (OUT),donor,Shoprite,Lodi,NJ,07644, Anthony Math ,201-887-7839,  ,1)     ,,,,,,,,,,,,
522,PARKING LOT (IN),donor,Shoprite,Lodi,NJ,07644, Anthony Math ,201-887-7839, Please use this as your last stop when you pull into the parking lot.  Make sure to enter zero pounds so it registers your time. ,1)     ,,,,,,,,,,,,
523,Beyond Meat (Preferred Freezer Services of Jersey City),donor,100 Polar Way,Jersey City,NJ,07305, Taryn Larino CSR , 201-915-3800 x3906 ,Beyond Meat Corporate information:\r\nKristi Donadio - Beyond Meat\r\nRegional Field Marketing Manager - Northeast\r\n1325 El Segundo Blvd.\r\nEl Segundo  CA 90245\r\n973-634-6905 ,1), ,,,,,,,,,,,
524,The Hill,donor,252 Schraalenburgh Road,Closter,NJ,07624, Chef Ben Pollinger , 201-220-3780 , Go to back of building on right side down stairs ,1)     ,,,,,,,,,,,,
525,Christ Church of Ramapo,recipient,65 Washington Avenue,Suffern, NY,10901, Kitty Nash , 845-357-1615 x13 , Darlene James x16\r\n\r\nOccasional drop of meat.\r\nPull into back parking lot (behind church) \r\nCenter door - at ramp ,0)     ,,,,,,,,,,,,
526,Bylada Foods LLC,donor,140 West Commercial Ave,Moonachie,NJ,07074, Melinda Orellano , 201-895-7182 direct , 201-933-7474 ext 235 ,1)     ,,,,,,,,,,,,
527,Fossil Farms,donor,81 Fulton Street,Boonton ,NJ,07005, Lance Applebaum-owner , 973-917-3155 ,  ,1)     ,,,,,,,,,,,,
528,Isaiah House,recipient,238 North Munn Avenue,East Orange,NJ,07017, Angela Phelan , 201-306-8613 , Nancy Hicks 973-678-5882\r\n\r\nOpen Monday thru Friday 24 hours. ,1)     ,,,,,,,,,,,,
530,Paterson Task Force (Mobile Market),recipient,36 Circle Avenue (Hilltop Haven),Paterson,NJ,07522, Roberta Farber , 201-306-6328 ,  ,1)     ,,,,,,,,,,,,
531,Stop & Shop Haskell,donor,4 Union Ave,Haskell,NJ,07420, Dave Kuiphoff Store Mgr , 973-616-1181 , m-w-fri ,1)     ,,,,,,,,,,,,
532,Stop & Shop Hackensack,donor,380 W Pleasantview Ave,Hackensack,NJ,07601, Mike Dixon -Store Mgr , 201-342-6030 , Mon-Wed-Fri\r\nJose Angeles Asst Mgr ,1)     ,,,,,,,,,,,,
533,Henry Lambertz Inc co Seafrigo,donor,158 Mt. Olivet Ave,Newark,NJ,07114,  ,  ,Corp office:\r\n\r\nHenry Lambertz  Inc\r\n3730 US Highway 46 W\r\nUnit 210\r\nFairfield NJ  07004\r\n862-210-8916\r\nHelen Mackanin-Office Mgr ,1), , , ,,,,,,,,,
534,Super Foodtown Nicholas markets Cedar grove,donor,597 Pompton Ave,Cedar Grove,NJ,07009, Dave Mesa-Store Mgr , 973-595-0655 , m-w-fri ,1)     ,,,,,,,,,,,,
536,Elizabeth Warehouse (per Dawn),donor,xxx,Elizabeth,NJ,07201, Dawn , xxxx , No thank you note necessary ,1)     ,,,,,,,,,,,,
537,Stop and Shop Union,donor,1201 Stuyvesant Ave,Union,NJ,07083, Kathy Stein  rcv mgr ,908-729-9030   ,Receiving dock are in underground garage to the right. - Don\ t use loading dock on Monday and Friday.  Ok on Wednesday if there is a spot.,1), ,,,,,,,,,,,
538,At the Feet of Jesus,recipient,273 Ocean Avenue,Jersey City,NJ,07305, Onekia Smith , 732-912-4215 , Saturday deliveries.\r\nCan take up to 11 pallets.\r\nCan be called for random deliveries. ,1)     ,,,,,,,,,,,,
539,Vine Development - Shield of Faith Ministries (Nov 13),recipient,348 Duncan Avenue,Jersey City,NJ,07306, Olivia Jacobs , 908-425-1232 , ONCE A MONTH - JUNE 12,1), , ,,,,,,,,,,
540,Star of Hope (Grace Redeemer Church) (HUB),recipient,21 Harristown Rd,Glen Rock,NJ,07452, Pastor Matt Andersen , 201-538-1298 , Pull around the right side of building\r\ndrop off at first loading dock on the left.\r\n4 pallets mixed - 4 to 5 different items. ,1)     ,,,,,,,,,,,,
541,Chabad of Hackensack (Kindness Project),donor,280 Summit Avenue,Hackensack,NJ,07601, Rabbi Mindy Kaminker ,  , Julie picked up bagged lunches from them...delivered to Bessie Green ,1)     ,,,,,,,,,,,,
542,New Vision Christian Assembly,recipient,773-777 South 20th Street,Newark,NJ,07103, Makensy Similhomme , 908-868-7347 , Springfield & 20th\r\nPINK CHURCH\r\nparking lot on left side of church behind gate and metal garage door. ,1)     ,,,,,,,,,,,,
543,Paterson School #2,recipient,22 Passaic Street,Paterson,NJ,07501, Jessica , 973-851-1519 , July 3rd and July 17th\r\n50 children in summer program. ,1)     ,,,,,,,,,,,,
544,Whole Foods Weehawken,donor,1400 Waterfront Terrace,Weehawken ,NJ,07086, Allan Alvarez-Director of Receiving ,  , Turn into riverside terrace for receiving ententrance ,1)     ,,,,,,,,,,,,
545,Trader Joe\s Hoboken,donor,1350 Willow Ave,Hoboken,NJ,07030, L\ yvon  David Bunker ,201-714-4790 , M-W-Friday after 10:15 AM\r\n\r\nMake right at Walgreens  then make right to loading dock. Must use right loading dock. If loading dock door closed call store and they will open. Staff will bring donations out. ,1), , ,,,,,,,,,,
546,Essex Plaza (Mobile Market) (Nov 19th & 25th),recipient,1060 Broad Street,Newark,NJ,07102, Yamiday (Rose) Dalliah , 973-968-7505 , Once a month Mobile Market\r\nOct 1 & 22\r\nNov 5 & 19 & 25\r\nDec 17\r\nJan 21 & 28\r\nFeb 18 & 25 ,1)     ,,,,,,,,,,,,
547,River Vale Township Food Pantry,recipient,334 Rivervale Rd,River Vale,NJ,07675, Katherine Villone , 201-310-6901 , Located in small building behind the police department. ,1)     ,,,,,,,,,,,,
548,Garden State Cold Storage,donor,580 Port Carteret Drive,Carteret,NJ,07008, Kevin , 201-616-1140 ,  ,1)     ,,,,,,,,,,,,
549,Dr. Fried (personal home),donor,21 Irene Court,Demarest,NJ,07627, Dr. Fried , 201-923-4180 , leftovers from Sunday party ,1)     ,,,,,,,,,,,,
550,Lincoln Park Towers (Mobile Market) (Dec 3rd),recipient,33 Lincoln Park,Newark,NJ,07102, Kevin ,  , Oct 8\r\nNov 12\r\nDec 3\r\nJan 14\r\nFeb 11 ,1)     ,,,,,,,,,,,,
551,Wild For co.,donor,133 Kossuth St,Newark,NJ,07105, Aleem Ahmed , 703-965-6184 , Spoiler Alert ,1)     ,,,,,,,,,,,,
552,Church of the Presentation,donor,271 W Saddle River Rd,Upper Saddle River,NJ,07458, Melanie Cheplic , 201-264-0902 ,  ,1)     ,,,,,,,,,,,,
553,Radha Reddy,donor,42 pleasant ave,Haworth  NJ,NJ,07641,  ,  ,  ,1)     ,,,,,,,,,,,,
554,The Great Commission Church,recipient,53-57 Marshall Street,Paterson,NJ,07501, Alvaro Hones , 973-330-6201 , Delivery drop off spot in gated parking lot on Grand Street side. ,1)     ,,,,,,,,,,,,
555,Glaze Donuts,donor,141 English Street,Hackensack,NJ,07601, Mary LoPonte , 201-488-1070 ,  ,1)     ,,,,,,,,,,,,
556,Quitman Street School (HUB),recipient,21 Quitman Street,Newark,NJ,07103, Damon Harrison , 973-876-3289 ,  ,1)     ,,,,,,,,,,,,
557,Lakeside Produce,donor,132 Elliot Street,Leamington,Nj,Canada,  , 519-322-1959 ,  ,1)     ,,,,,,,,,,,,
558,Simply Trudy,donor,55 Walnut Street,Norwood,NJ,07648, Marie Roth , 201-994-6889 ,  ,1)     ,,,,,,,,,,,,
559,Roberto Clemente Shalom Towers (Mobile Market) (Dec 10th),recipient,75 - 95 Clinton Avenue,Newark,NJ,07114, Anthony , x , this is a Lincoln Park market.\r\nWill happen once a month.  :) ,1)     ,,,,,,,,,,,,
560,Hoboken Farms,donor,PO Box 483,Hoboken,NJ,07030, Brad Finkel  President ,201-681-5709  , Warehouse\r\n314 Colfax Ave\r\nClifton NJ   07013,1), , , ,,,,,,,,,
562,Dreyer Farms,donor,831 Springfield Ave,Cranford,NJ,07016, Dawn , 908-276-1290 ,  ,1)     ,,,,,,,,,,,,
563,Truck (Food left on),recipient,"611 US HIGHWAY 46 W,  STE 240", HASBROUCK HEIGHTS ,NJ,07604, Jennifer Nelson , 201-449-7395 ,  ,1)     ,,,,,,,,,,,,
564,Truck (Pick up),donor,Parking Lot,Lodi,NJ,07644, Jennifer Nelson , 201-449-7395 ,  ,1)     ,,,,,,,,,,,,
565,Stew Leonards,donor,700 Paramus Park,Paramus,NJ,07652, Nevin or Steve , 201-649-0888 ,  ,1)     ,,,,,,,,,,,,
566,Brooklyn Brands @ Garden State Cold Storage,donor,580 Port Carteret Dr,Carteret,NJ,07008, Nichole Rivera ,  ,  ,1),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
